input,probability,response__possible_conditions__001,response__possible_conditions__002,response__possible_conditions__003,response__possible_conditions__004,response__urgency,response__common_age_groups,response__immediate_actions,response__precautions,response__potential_treatments__001,response__potential_treatments__002,response__potential_treatments__003,response__potential_treatments__004,response__medications__001,response__medications__002,response__medications__003,response__medications__004,response__lifestyle_changes
What is diabetic neuropathy?,0.6,Peripheral neuropathy,Autonomic neuropathy,Focal neuropathy,,Moderate - Should be evaluated and monitored by healthcare provider,More common in those with long-standing diabetes,"Report symptoms to healthcare provider, practice good foot care","Protect feet from injury, check feet daily",Nerve conduction studies,Regular foot exams,,,Pain management medications,Antidepressants for nerve pain,,,"Strict blood sugar control, regular exercise, no smoking"
Can you get diabetes from eating too much sugar?,0.75,Type 2 diabetes risk,,,,Low - Informational query,Relevant for all ages,Evaluate overall diet and lifestyle,Be aware of total sugar intake from all sources,Regular health check-ups,Blood glucose screening if at risk,,,Not applicable unless diagnosed with diabetes,,,,"Balanced diet, limit added sugars, regular physical activity"
What is the role of the pancreas in diabetes?,0.55,Type 1 diabetes,Type 2 diabetes,,,Low - Informational query,Relevant for all ages,Understand your type of diabetes and its management,Follow prescribed diabetes management plan,Blood tests to assess pancreatic function if needed,,,,Insulin or other diabetes medications as prescribed,,,,Lifestyle measures to support pancreatic function and insulin sensitivity
How does obesity relate to diabetes?,0.7,Type 2 diabetes risk,Metabolic syndrome,,,Moderate - Address with healthcare provider if overweight,"Can affect all ages, risk increases with age","Assess BMI, schedule check-up if overweight",Avoid crash diets or extreme weight loss measures,Weight management programs,Regular health screenings,,,Weight loss medications if prescribed by healthcare provider,,,,"Balanced, calorie-appropriate diet, increased physical activity, stress management"
What is prediabetes?,0.75,Prediabetes,Increased risk of Type 2 diabetes,,,Moderate - Should be addressed with healthcare provider,"More common in adults over 45, but can affect younger individuals",Schedule follow-up tests and consultations as recommended,"Take diagnosis seriously, make recommended lifestyle changes",Regular blood glucose monitoring,Diabetes prevention programs,,,Metformin sometimes prescribed for prevention,,,,"Weight loss if overweight, increased physical activity, healthy diet"
Can diabetes affect my skin?,0.5,Diabetic dermopathy,Necrobiosis lipoidica,Bacterial or fungal infections,,Low to Moderate - Discuss with healthcare provider at next appointment,Can affect all ages with diabetes,"Practice good skin hygiene, moisturize dry skin","Inspect skin regularly, treat cuts or sores promptly",Skin examinations,Topical treatments for specific conditions,,,Antibiotics or antifungals if infection present,,,,"Blood sugar control, good skin care routine, stay hydrated"
How does diabetes affect wound healing?,0.6,Delayed wound healing,Diabetic foot ulcers,,,Moderate - Wounds should be monitored closely,More common in older adults with long-standing diabetes,"Clean and dress wounds promptly, monitor for signs of infection","Avoid walking barefoot, inspect feet daily",Regular wound care,Debridement if necessary,,,Antibiotics if infection present,Specialized dressings,,,"Blood sugar control, good nutrition, avoid smoking"
What is the connection between diabetes and depression?,0.55,Depression,Diabetes distress,,,Moderate - Should be addressed with healthcare provider,Can affect all ages with diabetes,"Discuss symptoms with healthcare provider, seek mental health support","Be aware of signs of depression, maintain social connections",Mental health counseling,Depression screening,,,Antidepressants if prescribed by healthcare provider,,,,"Regular exercise, stress management, adequate sleep, support groups"
Can diabetes cause erectile dysfunction?,0.4,Erectile dysfunction,Diabetic neuropathy,,,Low - Can be discussed at next routine appointment,More common in older men with diabetes,Discuss concerns with healthcare provider,Be aware of other cardiovascular risk factors,Erectile dysfunction medications,Hormonal tests,,,PDE5 inhibitors if appropriate and prescribed,,,,"Blood sugar control, regular exercise, stress management, no smoking"
How does diabetes affect the nervous system?,0.65,Diabetic neuropathy,Autonomic neuropathy,,,Moderate - Regular monitoring needed,Risk increases with duration of diabetes,Report any unusual sensations to healthcare provider,"Protect extremities from injury, practice good foot care",Nerve conduction studies,Autonomic function tests,,,Pain management medications,Medications for specific symptoms,,,"Strict blood sugar control, regular exercise, no smoking"
What is diabetic retinopathy?,0.7,Diabetic retinopathy,Macular edema,,,Moderate - Requires regular monitoring by eye specialist,Risk increases with duration of diabetes,"Schedule regular eye exams, report any vision changes promptly",Maintain good blood sugar and blood pressure control,Regular dilated eye exams,Retinal imaging,,,Eye injections or laser treatment if necessary,,,,"Blood sugar control, blood pressure management, no smoking"
How does diabetes affect pregnancy planning?,0.45,Preexisting diabetes in pregnancy,,,,Moderate - Should be addressed before conception,Women of childbearing age with diabetes,Consult with healthcare provider for preconception counseling,Achieve good blood sugar control before pregnancy,Preconception health check-ups,Medication adjustments,,,May need to switch to pregnancy-safe diabetes medications,,,,"Strict blood sugar control, folic acid supplementation, healthy diet"
What is the diabetes and thyroid connection?,0.5,Autoimmune thyroid disease,Thyroid dysfunction,,,Low - Can be addressed at next routine appointment,"Can affect all ages, more common in middle-aged women",Report symptoms of thyroid dysfunction to healthcare provider,Be aware of symptoms of hyper- or hypothyroidism,Thyroid function tests,Regular thyroid monitoring,,,Thyroid hormone replacement if necessary,,,,"Balanced diet, regular exercise, stress management"
How does diabetes affect oral health?,0.55,Periodontal disease,Dry mouth,Oral infections,,Moderate - Regular dental check-ups important,Can affect all ages with diabetes,"Maintain good oral hygiene, schedule regular dental check-ups",Be aware of signs of gum disease or infections,Regular dental cleanings,Periodontal treatments if necessary,,,Antibiotics for infections if prescribed,,,,"Blood sugar control, good oral hygiene, no smoking"
What is diabetic gastroparesis?,0.35,Diabetic gastroparesis,Autonomic neuropathy,,,Moderate - Should be evaluated if suspected,More common in those with long-standing diabetes,Report persistent digestive symptoms to healthcare provider,Be aware of how it might affect blood sugar management,Gastric emptying studies,Nutritional counseling,,,Prokinetics,Anti-nausea medications,,,"Small, frequent meals, low-fat and low-fiber diet, blood sugar control"
How does altitude affect diabetes management?,0.3,Altitude-related blood sugar fluctuations,,,,Low - Plan ahead for altitude changes,Can affect all ages with diabetes,Consult healthcare provider before high-altitude travel,Monitor blood sugar more frequently at high altitudes,Adjust diabetes management plan for altitude,,,,May need to adjust insulin or medication dosages,,,,"Stay hydrated, be prepared for emergencies, acclimatize gradually"
What is the relationship between diabetes and Alzheimer's disease?,0.4,Increased risk of Alzheimer's disease,Vascular dementia,,,Low - Long-term health consideration,"Risk increases with age, especially in older adults","Maintain good overall health, including diabetes management","Be aware of cognitive changes, engage in mentally stimulating activities",Regular cognitive assessments,Cardiovascular health check-ups,,,Continue prescribed diabetes and cardiovascular medications,,,,"Blood sugar control, heart-healthy lifestyle, mental and social engagement"
How does diabetes affect muscle mass?,0.45,Sarcopenia,Muscle atrophy,,,Low - Long-term health consideration,More common in older adults with diabetes,Incorporate strength training into exercise routine,"Start exercise programs gradually, monitor blood sugar with activity",Physical therapy,Nutritional assessment,,,Continue prescribed diabetes medications,,,,"Regular strength training, adequate protein intake, blood sugar control"
What is the connection between diabetes and sleep apnea?,0.5,Obstructive sleep apnea,Insulin resistance,,,Moderate - Should be evaluated if suspected,More common in overweight adults with diabetes,Report sleep problems to healthcare provider,Be aware of daytime sleepiness and its risks,Sleep study,CPAP therapy if diagnosed,,,Continue prescribed diabetes medications,,,,"Weight loss if overweight, good sleep hygiene, avoid alcohol before bed"
How does diabetes affect the immune system?,0.55,Increased susceptibility to infections,Slower wound healing,,,Moderate - Ongoing health consideration,Can affect all ages with diabetes,"Practice good hygiene, stay up to date on vaccinations","Monitor for signs of infection, seek prompt treatment for wounds",Regular health check-ups,Prompt treatment of infections,,,Antibiotics if infections occur,,,,"Blood sugar control, balanced diet, regular exercise, adequate sleep"
What is brittle diabetes?,0.3,Brittle diabetes,Labile diabetes,,,High - Requires specialized management,"Can affect any age, more common in Type 1 diabetes",Work closely with endocrinologist for management,Be prepared for rapid blood sugar fluctuations,Continuous glucose monitoring,Insulin pump therapy,,,"Rapid-acting insulin, long-acting insulin",,,,"Strict blood sugar monitoring, consistent meal and activity patterns"
I have a fever of 101Â°F (38.3Â°C) and feel achy all over,0.511312217,Viral infection,Influenza,COVID-19,Bacterial infection,Moderate - Monitor closely and seek medical attention if symptoms worsen,All age groups,"Rest, stay hydrated, take over-the-counter fever reducers if appropriate","Isolate to prevent spread, monitor temperature regularly",Antiviral medications,Antibiotics (if bacterial),Supportive care,,Acetaminophen,Ibuprofen,Naproxen,,"Increase fluid intake, get plenty of rest, eat light, easily digestible foods"
My child has a fever of 103Â°F (39.4Â°C) and is lethargic,0.509271749,Viral infection,Bacterial infection,Meningitis,Appendicitis,High - Seek immediate medical attention,Children under 5 years old,"Cool the child with lukewarm cloth, offer fluids, seek emergency care","Monitor for signs of dehydration, seizures, or difficulty breathing",Blood tests,Urine analysis,Lumbar puncture (if meningitis suspected),,Acetaminophen,Ibuprofen (if over 6 months old),,,"Ensure proper vaccination, practice good hygiene"
I've had a low-grade fever of 99.5Â°F (37.5Â°C) for three days,0.507231281,Viral infection,Urinary tract infection,Chronic fatigue syndrome,Lymphoma,Low to Moderate - Schedule an appointment with your doctor,Adults,"Rest, stay hydrated, monitor symptoms","Track temperature changes, note any additional symptoms",Physical examination,Blood tests,Urine culture,,Acetaminophen (if needed for comfort),,,,"Ensure adequate sleep, manage stress, maintain a balanced diet"
I have a fever of 102Â°F (38.9Â°C) with a severe headache and stiff neck,0.505190814,Meningitis,Encephalitis,Severe viral infection,,Very High - Seek emergency medical care immediately,"All age groups, but more common in young adults",Go to the emergency room or call for an ambulance,"Do not drive yourself, have someone accompany you if possible",Lumbar puncture,CT scan,Blood cultures,Intravenous antibiotics,Broad-spectrum antibiotics,Antiviral medications,Corticosteroids,,"Follow vaccination schedules, practice good hygiene"
I have a fever of 100Â°F (37.8Â°C) and a persistent cough,0.503150346,Upper respiratory infection,Bronchitis,Pneumonia,COVID-19,Moderate - Contact your healthcare provider,All age groups,"Rest, stay hydrated, monitor symptoms, isolate to prevent spread","Cover mouth when coughing, dispose of tissues properly",Chest X-ray,Sputum culture,COVID-19 test,,Cough suppressants,Expectorants,Acetaminophen,,"Avoid smoking, use a humidifier, practice respiratory hygiene"
I have a fever of 101Â°F (38.3Â°C) with chills and night sweats,0.501109878,Influenza,Malaria,Tuberculosis,Lymphoma,Moderate to High - Seek medical attention soon,Adults,"Rest, stay hydrated, take fever reducers if appropriate","Monitor for worsening symptoms, change clothes if sweating excessively",Blood tests,Chest X-ray,Malaria smear (if travel history),,Antipyretics,Antimalarials (if indicated),Antibiotics (if bacterial),,"Use mosquito protection in endemic areas, avoid exposure to TB"
